"";"AquaComponent";"AquaUnit";"maand";"min";"median";"mean";"max";"sd";"n"
"1";"EGV25_veld";"µS/cm";1;368;446;587,333333333333;1876;425,277093270501;12
"2";"EGV25_veld";"µS/cm";2;388;479,5;747,833333333333;1867;570,556015362792;6
"3";"EGV25_veld";"µS/cm";3;419;483;748,666666666667;1873;568,606249232865;6
"4";"EGV25_veld";"µS/cm";4;356;452;750,9;1868;594,972725798792;10
"5";"EGV25_veld";"µS/cm";5;354;527;806,961538461538;1875;560,114886338005;13
"6";"EGV25_veld";"µS/cm";6;318;505;780,647058823529;1846;545,303922273679;17
"7";"EGV25_veld";"µS/cm";7;273;479;681,916666666667;1807;494,799400737003;12
"8";"EGV25_veld";"µS/cm";8;303;471,5;644,25;1859;450,131017964029;16
"9";"EGV25_veld";"µS/cm";9;315;498;733,909090909091;1832;504,547015558601;11
"10";"EGV25_veld";"µS/cm";10;329;499,5;662;1832;470,961863554871;14
"11";"EGV25_veld";"µS/cm";11;381;508;628,5;1643;372,373543039185;10
"12";"EGV25_veld";"µS/cm";12;377;435,5;687,428571428571;1881;524,290100888916;14
"13";"O2verz";"%";1;75,6;93,65;91,175;100,4;8,4371607675913;12
"14";"O2verz";"%";2;95,6;97;98,45;104;3,48353268967007;6
"15";"O2verz";"%";3;98,5;107,7;110,766666666667;131;11,9481658285557;6
"16";"O2verz";"%";4;101,6;107,4;112,36;136,9;12,1836137678623;10
"17";"O2verz";"%";5;104,2;116,2;127,784615384615;164,3;21,2297686497775;13
"18";"O2verz";"%";6;96,2;121,7;123,03125;141,1;14,2228322894328;16
"19";"O2verz";"%";7;93;131,3;129,207692307692;188,7;25,6232791792432;13
"20";"O2verz";"%";8;47,9;112,7;108,85;152,2;23,0126921502027;16
"21";"O2verz";"%";9;97;108;113,736363636364;148,1;18,4741047267397;11
"22";"O2verz";"%";10;71,7;94,5;93,4785714285714;104,3;9,23173277938059;14
"23";"O2verz";"%";11;69,3;87,45;86,48;101,2;10,8577468503676;10
"24";"O2verz";"%";12;73,8;84,4;83,9857142857143;94,3;6,18656822265999;14
"25";"TN";"mg/L";1;0,5;2,265;2,24083333333333;4;1,20592822290047;12
"26";"TN";"mg/L";2;0,53;1,25;1,585;3,46;1,02665963201053;6
"27";"TN";"mg/L";3;0,6;2,395;2,43166666666667;4,25;1,73813022143528;6
"28";"TN";"mg/L";4;0,5;1,29;1,811;4,17;1,36575945498792;10
"29";"TN";"mg/L";5;0,55;0,995;1,53833333333333;4,14;1,1898268272265;12
"30";"TN";"mg/L";6;0,57;0,92;1,30411764705882;3,39;0,858807740588147;17
"31";"TN";"mg/L";7;0,53;0,925;1,1875;2,24;0,66053869200552;12
"32";"TN";"mg/L";8;0,5;1,04;1,306;3,02;0,726014561050357;15
"33";"TN";"mg/L";9;0,52;1,02;1,25545454545455;2,42;0,717974423449243;11
"34";"TN";"mg/L";10;0,5;1,04;1,67071428571429;4,75;1,33813569672778;14
"35";"TN";"mg/L";11;0,73;0,89;1,35555555555556;3,5;0,931183536032386;9
"36";"TN";"mg/L";12;0,51;1,645;1,76285714285714;3,5;0,947356066367613;14
"37";"TP";"mg/L";1;0,0295;0,04845;0,0676083333333333;0,1558;0,0404515301055323;12
"38";"TP";"mg/L";2;0,022;0,04415;0,0663166666666667;0,1334;0,0504035084757665;6
"39";"TP";"mg/L";3;0,02;0,06185;0,0662833333333333;0,1258;0,045736393240686;6
"40";"TP";"mg/L";4;0,02;0,04305;0,05078;0,1212;0,0335249757643462;10
